question,answer,combined
幾點營業&營業到幾點呢 ,平日11:00-21:30 假日 10:00-22:00,question: 幾點營業&營業到幾點呢 ; answer: 平日11:00-21:30 假日 10:00-22:00
披薩有多大 ,"10吋,跟菜單畫圓差不多大小","question: 披薩有多大 ; answer: 10吋,跟菜單畫圓差不多大小"
評論送的披薩幾吋 ,一樣10吋,question: 評論送的披薩幾吋 ; answer: 一樣10吋
假日可以選擇座位嗎 ,不能，依現場狀況安排座位,question: 假日可以選擇座位嗎 ; answer: 不能，依現場狀況安排座位
廁所只有在一樓嗎 ,是,question: 廁所只有在一樓嗎 ; answer: 是
有尿布台嗎 ,沒有提供尿布台,question: 有尿布台嗎 ; answer: 沒有提供尿布台
有兒童遊戲區嗎 ,沒有,question: 有兒童遊戲區嗎 ; answer: 沒有
有空中花園嗎 ,沒有,question: 有空中花園嗎 ; answer: 沒有
請問你們是想林口嗎 ,意享美式廚房,question: 請問你們是想林口嗎 ; answer: 意享美式廚房
可以電話訂餐嗎 ,不能，一律線上點餐,question: 可以電話訂餐嗎 ; answer: 不能，一律線上點餐
可以先預留蛋糕嗎等等過去拿 ,不能,question: 可以先預留蛋糕嗎等等過去拿 ; answer: 不能
我有訂位可以先幫我預留蛋糕嗎 ,不能,question: 我有訂位可以先幫我預留蛋糕嗎 ; answer: 不能
蛋糕可以放多久 ,室溫30分鐘 冷藏最多放3天 ,question: 蛋糕可以放多久 ; answer: 室溫30分鐘 冷藏最多放3天 
骰子牛是什麼部位 ,牛肩肉,question: 骰子牛是什麼部位 ; answer: 牛肩肉
牛肉漢堡排是純牛肉嗎 ,有洋蔥 7分熟,question: 牛肉漢堡排是純牛肉嗎 ; answer: 有洋蔥 7分熟
有什麼支付方式 ,可刷卡or付現,question: 有什麼支付方式 ; answer: 可刷卡or付現
附餐飲料可單點嗎 ,不能,question: 附餐飲料可單點嗎 ; answer: 不能
早午餐餐後飲料升級後可續杯其他飲料嗎 ,不能,question: 早午餐餐後飲料升級後可續杯其他飲料嗎 ; answer: 不能
蟹肉醬可以加價購嗎 ,可加30元加購,question: 蟹肉醬可以加價購嗎 ; answer: 可加30元加購
巧克力奶昔可以無糖嗎 ,巧克力冰本身就有甜了,question: 巧克力奶昔可以無糖嗎 ; answer: 巧克力冰本身就有甜了
莓果冰沙裡有什麼 ,桑椹果粒、蔓越莓果漿,question: 莓果冰沙裡有什麼 ; answer: 桑椹果粒、蔓越莓果漿
附餐飲料可以續杯嗎 ,不可,question: 附餐飲料可以續杯嗎 ; answer: 不可
有哪些外送平台 ,Oddle、Uber、foodpanda、inline,question: 有哪些外送平台 ; answer: Oddle、Uber、foodpanda、inline
Oddle只能線上刷卡嗎 ,是的,question: Oddle只能線上刷卡嗎 ; answer: 是的
你們一二樓能容納多少人 ,一樓容納50人 二樓40人,question: 你們一二樓能容納多少人 ; answer: 一樓容納50人 二樓40人
為什麼你們叫意享 ,取eatenjoy為諧音 eat=意 enjoy=享受,question: 為什麼你們叫意享 ; answer: 取eatenjoy為諧音 eat=意 enjoy=享受
餐點可以不要加洋蔥嗎？ ,漢堡可不加紫洋蔥 醬汁裡也有洋蔥的成分 可以接受嗎？,question: 餐點可以不要加洋蔥嗎？ ; answer: 漢堡可不加紫洋蔥 醬汁裡也有洋蔥的成分 可以接受嗎？
現場可以買到整模蛋糕嗎 ,請幫我的Fb粉絲專頁密小編 甜點師在上面可直接與他討論 蛋糕最晚3天內要訂,question: 現場可以買到整模蛋糕嗎 ; answer: 請幫我的Fb粉絲專頁密小編 甜點師在上面可直接與他討論 蛋糕最晚3天內要訂
一次限購幾個蛋糕 ,8個,question: 一次限購幾個蛋糕 ; answer: 8個
蛋糕是外包嗎 ,不是，有自己的甜點師,question: 蛋糕是外包嗎 ; answer: 不是，有自己的甜點師
菜單上的蛋糕都有嗎 ,蛋糕都是依現場口味為主，菜單上僅供參考,question: 菜單上的蛋糕都有嗎 ; answer: 蛋糕都是依現場口味為主，菜單上僅供參考
你們如果有特殊球賽會(世足or有台灣參賽的) 加長營業時間嗎 ,世足會開放冠軍賽的訂位決定是否加長營業時間，官網上都會持續更新訊息,question: 你們如果有特殊球賽會(世足or有台灣參賽的) 加長營業時間嗎 ; answer: 世足會開放冠軍賽的訂位決定是否加長營業時間，官網上都會持續更新訊息
可以現場候位嗎 ,依訂位為主，現場不後位 可先訂位若有空桌會提早通知,question: 可以現場候位嗎 ; answer: 依訂位為主，現場不後位 可先訂位若有空桌會提早通知
毛小孩如果在店內上廁所怎麼辦 ,會酌收清潔費500元,question: 毛小孩如果在店內上廁所怎麼辦 ; answer: 會酌收清潔費500元
你們提供寵物尿布墊嗎 ,不會,question: 你們提供寵物尿布墊嗎 ; answer: 不會
你們還會再養店狗嗎 ,目前沒有計畫,question: 你們還會再養店狗嗎 ; answer: 目前沒有計畫
可帶外食嗎 ,禁帶外食屢勸不聽者將酌收清潔費500元,question: 可帶外食嗎 ; answer: 禁帶外食屢勸不聽者將酌收清潔費500元
有提供打包嗎 ,有的,question: 有提供打包嗎 ; answer: 有的
評論薯條之前評過的話還可以再評一次嗎 ,可再修改評論,question: 評論薯條之前評過的話還可以再評一次嗎 ; answer: 可再修改評論
炒蛋可不調味嗎 ,可以不給起司 調味固定,question: 炒蛋可不調味嗎 ; answer: 可以不給起司 調味固定
早午餐的時蔬有什麼 ,糯米椒、甜椒、玉米筍、節瓜,question: 早午餐的時蔬有什麼 ; answer: 糯米椒、甜椒、玉米筍、節瓜
薯塊可以換薯條嗎? ,不可以,question: 薯塊可以換薯條嗎? ; answer: 不可以
餐點可以加辣嗎 ,可以,question: 餐點可以加辣嗎 ; answer: 可以
你們店狗是法鬥嗎 ,新店店是，這裡店狗走了,question: 你們店狗是法鬥嗎 ; answer: 新店店是，這裡店狗走了
