question,answer,combined
你們店長換了喔？ ,是的,question: 你們店長換了喔？ ; answer: 是的
菜單上什麼餐點需要等待時間較長?時間分別為多久?,"鱸魚麵:25~30分, 龍蝦麵: 25~30分, 舒肥雞麵/飯: 25~30分, 牛小排(排餐/飯/早午餐):20分, 豬腳: 30分, 辣味脆雞披撒: 25~30分","question: 菜單上什麼餐點需要等待時間較長?時間分別為多久?; answer: 鱸魚麵:25~30分, 龍蝦麵: 25~30分, 舒肥雞麵/飯: 25~30分, 牛小排(排餐/飯/早午餐):20分, 豬腳: 30分, 辣味脆雞披撒: 25~30分"
飲料中，哪幾種飲料含咖啡因,濃縮/美式/拿鐵/卡布/抹茶拿鐵/鐵觀音拿鐵/水果茶/鮮煮奶茶/貝里斯奶茶,question: 飲料中，哪幾種飲料含咖啡因; answer: 濃縮/美式/拿鐵/卡布/抹茶拿鐵/鐵觀音拿鐵/水果茶/鮮煮奶茶/貝里斯奶茶
奶昔是用什麼做的?,冰淇淋,question: 奶昔是用什麼做的?; answer: 冰淇淋
單點飲料中，哪幾種飲料可以製作無糖?,"濃縮/美式/拿鐵(原味)/卡布/葡萄柚汁/奇異果汁/奇異蘋果汁, 其餘飲料最低製作至半糖(冰沙奶昔類生啤類不可調整)","question: 單點飲料中，哪幾種飲料可以製作無糖?; answer: 濃縮/美式/拿鐵(原味)/卡布/葡萄柚汁/奇異果汁/奇異蘋果汁, 其餘飲料最低製作至半糖(冰沙奶昔類生啤類不可調整)"
水果茶/鮮煮奶茶/貝里斯奶茶/鮮榨果汁類中，加的糖為什麼糖?,鳳梨糖漿/黑糖/黑糖/蜂蜜,question: 水果茶/鮮煮奶茶/貝里斯奶茶/鮮榨果汁類中，加的糖為什麼糖?; answer: 鳳梨糖漿/黑糖/黑糖/蜂蜜
甜點菜單連結,https://drive.google.com/file/d/10ahQogwAwM_FWiy4DIeE7c3Enr9wDfZc/view?usp=sharing,question: 甜點菜單連結; answer: https://drive.google.com/file/d/10ahQogwAwM_FWiy4DIeE7c3Enr9wDfZc/view?usp=sharing
我該如何預留訂購甜點呢?,https://lin.ee/zoef18D,question: 我該如何預留訂購甜點呢?; answer: https://lin.ee/zoef18D
請問蛋糕有提供什麼尺寸?,6吋和9吋,question: 請問蛋糕有提供什麼尺寸?; answer: 6吋和9吋
有無開放甜點外帶的服務?,甜點提供單純「外帶」和「內用」的服務，務必提前一天詢問並預留，當日「一律不提供預留」，僅提供現場挑選購買的服務。,question: 有無開放甜點外帶的服務?; answer: 甜點提供單純「外帶」和「內用」的服務，務必提前一天詢問並預留，當日「一律不提供預留」，僅提供現場挑選購買的服務。
請問我可以購買切片蛋糕拼成一模嗎?,可以，一模蛋糕需挑選8~10切片即可拼成一個圓，需另外酌收$80包材費用，連結是https://drive.google.com/file/d/10ahQogwAwM_FWiy4DIeE7c3Enr9wDfZc/view,question: 請問我可以購買切片蛋糕拼成一模嗎?; answer: 可以，一模蛋糕需挑選8~10切片即可拼成一個圓，需另外酌收$80包材費用，連結是https://drive.google.com/file/d/10ahQogwAwM_FWiy4DIeE7c3Enr9wDfZc/view
切片蛋糕如何預訂?,如需切片小蛋糕需要依循我們當日有提供的口味來做挑選，因為每天提供的菜單口味不一樣。預留完成後務必先匯款訂單才會成立。,question: 切片蛋糕如何預訂?; answer: 如需切片小蛋糕需要依循我們當日有提供的口味來做挑選，因為每天提供的菜單口味不一樣。預留完成後務必先匯款訂單才會成立。
蛋糕需要多久前預訂?,需要3~7天前事先預訂,question: 蛋糕需要多久前預訂?; answer: 需要3~7天前事先預訂
現場是否有販售整模蛋糕,店內僅提供切片蛋糕販售，不會提供整模蛋糕的販售,question: 現場是否有販售整模蛋糕; answer: 店內僅提供切片蛋糕販售，不會提供整模蛋糕的販售
蛋糕的保存期限為幾天?,冷藏3天，包含取貨當天,question: 蛋糕的保存期限為幾天?; answer: 冷藏3天，包含取貨當天
蛋糕是否需要冷藏保存?,室溫保存僅30分鐘為限，務必放置冷藏保存,question: 蛋糕是否需要冷藏保存?; answer: 室溫保存僅30分鐘為限，務必放置冷藏保存
蛋糕是否可以冷凍保存?,不可以，冷凍會影響蛋糕口感,question: 蛋糕是否可以冷凍保存?; answer: 不可以，冷凍會影響蛋糕口感
蛋糕是否可以宅配寄送?,宅配部分可能會需要承擔些許風險，因為我們是和黑貓宅急便配合，他們僅提供配送服務，但不會承擔配送品質。不過包裝部分我們一定會盡可能去保護蛋糕，但收到的樣貌可能還是跟店內享用到的會有落差,question: 蛋糕是否可以宅配寄送?; answer: 宅配部分可能會需要承擔些許風險，因為我們是和黑貓宅急便配合，他們僅提供配送服務，但不會承擔配送品質。不過包裝部分我們一定會盡可能去保護蛋糕，但收到的樣貌可能還是跟店內享用到的會有落差
請問你們餐廳的位置在哪裡?,林口以及新店,question: 請問你們餐廳的位置在哪裡?; answer: 林口以及新店
請問你們林口店的在哪裡?,"林口店, 新北市林口區文化三路一段390-1（三井outlet旁邊，機場捷運A9站）. ","question: 請問你們林口店的在哪裡?; answer: 林口店, 新北市林口區文化三路一段390-1（三井outlet旁邊，機場捷運A9站）. "
請問你們新店店的在哪裡?,"新店店, 新北市新店區北新路一段88巷9號（新店區公所捷運站2號出口旁邊巷子）","question: 請問你們新店店的在哪裡?; answer: 新店店, 新北市新店區北新路一段88巷9號（新店區公所捷運站2號出口旁邊巷子）"
慶生時可以自己帶蛋糕來嗎？ ,可以，但是慶生結束後要把蛋糕帶走。,question: 慶生時可以自己帶蛋糕來嗎？ ; answer: 可以，但是慶生結束後要把蛋糕帶走。
龍蝦的推薦連結,https://eatenjoyforever.com/order-online/,question: 龍蝦的推薦連結; answer: https://eatenjoyforever.com/order-online/
奶昔的推薦連結,https://eatenjoyforever.com/news/,question: 奶昔的推薦連結; answer: https://eatenjoyforever.com/news/
千層的推薦連結,https://eatenjoyforever.com/luna-handmade-dessert/,question: 千層的推薦連結; answer: https://eatenjoyforever.com/luna-handmade-dessert/
龍蝦的圖片,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Monogrammist_JHV_Still_life_with_a_lobster.jpg/500px-Monogrammist_JHV_Still_life_with_a_lobster.jpg,question: 龍蝦的圖片; answer: https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Monogrammist_JHV_Still_life_with_a_lobster.jpg/500px-Monogrammist_JHV_Still_life_with_a_lobster.jpg
奶昔的圖片,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Milk-shake.jpg/900px-Milk-shake.jpg,question: 奶昔的圖片; answer: https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Milk-shake.jpg/900px-Milk-shake.jpg
蛋糕還剩下多少,蛋糕庫存表 https://eatenjoyforever.com/menu/,question: 蛋糕還剩下多少; answer: 蛋糕庫存表 https://eatenjoyforever.com/menu/
